Image Name, Image Size
istockphoto-1419410282-612x612.jpg, "(612, 382)"
pexels-photo-414612.jpg, "(500, 355)"
depositphotos_315115322-stock-photo-sun-trees-yellow-green-leaves.jpg, "(600, 400)"
free-nature-images.jpg, "(1200, 630)"
